96-1492,9/17/96,20,345,1650
96-1814,11/3/96,12,36,779
96-0043,11/3/96,10,87.5,513
96-1885,11/17/96,19,193,940
96-1886,11/18/96,3,12,25
96-1903,11/20/96,16,149.25,821
96-2036,12/12/96,8,16,340
96-2090,12/23/96,16,214.5,1560
,1/1/97,17,89.5,970
,1/12/97,22,121,
,2/3/97,0,,
,2/3/97,0,,
,3/1/97,0,,
,3/3/97,0,,
,3/21/97,0,,
,4/4/97,22,61,1310
,4/18/97,0,,
,4/20/97,37,336,2720
,9/7/97,27,121,765
,9/20/97,24,166.5,2080
,11/7/97,20,243,1850
,11/16/97,22,333,1945
,12/28/97,34,73,1000
98-0015,1/5/98,13,44.5,2290
98-0042,1/10/98,21,24.5,475
98-0074,1/14/98,25,134.25,1240
98-0109,1/20/98,13,157,1180
98-0148,1/29/98,3,7.5,120
98-0193,2/9/98,8,128,1520
98-ES-008,2/11/98,38,417.25,1649
98-0411,3/15/98,16,74.5,1500
98-0416,3/16/98,22,61,780
98-0425,3/19/98,7,26.5,745
,3/29/98,14,14,350
98-0564,4/4/98,11,42.5,515
98-0643,4/19/98,28,38.5,610
,4/28/98,17,56,1050
98-0721,4/28/98,40,189.33,2103
98-0747,5/2/98,38,609.5,2480
98-0772,5/5/98,3,39.5,380
98-0787,5/7/98,14,38,460
98-0886,5/20/98,11,22,230
98-0968,5/30/98,28,254.5,2360
98-ES-026,5/30/98,28,202,925
98-0992,6/3/98,16,33,625
98-ES-028,6/27/98,10,71.25,275
98-1202,6/28/98,24,504,2165
98-1276,7/8/98,8,57,760
98-1272,7/8/98,14,95.25,1870
,7/25/98,14,69,1350
98-1432,7/26/98,20,267,2330
98-1425,7/26/98,9,117,600
98-1451,7/28/98,18,212,1010
98-1497,8/2/98,12,137,1010
98-1514,8/3/98,15,49,1320
98-1562,8/10/98,19,122.5,1529
98-1741,9/1/98,2,82,450
98-1750,9/2/98,15,89,1020
98-1793,9/6/98,18,20.5,310
98-1816,9/8/98,19,56,895
98-ES-028,9/12/98,20,184,1150
98-1908,9/22/98,18,74,1149
98-1939,9/28/98,0,,
98-ES-058,10/11/98,13,129,1810
98-2061,10/18/98,20,221.5,1793
98-2211,11/7/98,9,25.75,430
98-ES-062,12/6/98,11,92.5,1140
98-2555,12/22/98,44,425.5,1820
99-0077,1/13/99,4,1.33,12
99-0259,2/8/99,31,441.25,3395
99-0365,2/27/99,18,62.5,940
99-ES-010,2/27/99,22,97.5,940
99-0384,3/1/99,19,107,750
99-ES-012,3/11/99,21,137,368
,5/1/99,32,195.75,1590
99-0899,5/7/99,24,119,746
99-0907,5/9/99,13,62,545
99-1014,5/22/99,14,116.5,1080
99-1013,5/22/99,20,20,160
99-1025,5/24/99,7,23.5,415
99-1150,6/4/99,12,25.25,620
99-1165,6/5/99,25,274,1609
99-ES-101,6/5/99,12,58,830
99-1432,6/29/99,17,82.5,787
,7/5/99,18,208.5,1885
99-1593,7/17/99,8,52,440
99-1609,7/20/99,30,601,4290
99-ES-061,7/23/99,15,523.75,1624
99-1649,7/25/99,13,69.92,730
99-1686,7/29/99,11,84,1375
99-1707,7/31/99,12,24.5,420
,7/31/99,6,7.25,260
99-1911,8/22/99,12,73.5,563
99-1966,8/28/99,28,243.5,2402
99-1967,8/29/99,17,114,1680
99-2108,9/14/99,9,9,155
99-2192,9/25/99,10,80,860
99-2291,10/11/99,35,430.5,2048
99-2342,10/17/99,12,71,660
99-2373,10/22/99,10,15,203
99-2400,10/27/99,8,23.5,420
99-2399,10/27/99,4,32,500
99-1959,11/4/99,11,67,675
99-2497,11/6/99,11,22,510
99-2513,11/8/99,7,29.5,240
99-2537,11/10/99,30,231.5,1193
99-2565,11/13/99,6,13,170
,11/14/99,4,40,200
99-2719,12/5/99,16,80.5,1300
99-2843,12/22/99,4,14,160
99-2833,12/22/99,12,101.5,1150
,1/2/00,11,73.5,400
00-ES-002,1/17/00,13,74.25,730
00-0215,2/4/00,20,99.75,945
00-0392,2/28/00,6,33.5,430
